User_ID,Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Age in Yrs,Date of Joining,Age in Company (Years),Salary,SSN,Phone No,City,State,Zip
ajreyes,666886,Mrs.,Angelita,J,Reyes,F,angelita.reyes@shaw.ca,Johnny Reyes,Susie Reyes,54.15,1/30/1987,30.51,117868,384-37-1874,231-348-5787,West Bloomfield,MI,48325
akbarnett,245059,Mr.,Abdul,K,Barnett,M,abdul.barnett@hotmail.com,Jame Barnett,Angelina Barnett,32.36,9/26/2011,5.84,165777,580-41-6312,236-885-1600,Alexandria,VA,22307
alrichardson,408248,Hon.,Antwan,L,Richardson,M,antwan.richardson@hotmail.com,Randell Richardson,Stacy Richardson,43.86,7/15/2004,13.04,114321,058-02-5142,209-406-6320,San Bernardino,CA,92409
alrobles,855670,Drs.,Adrian,L,Robles,F,adrian.robles@gmail.com,Reid Robles,Mallory Robles,59.18,10/14/1982,34.81,166464,526-99-7519,212-956-0905,Glen Spey,NY,12737
alromero,175035,Ms.,Ava,L,Romero,F,ava.romero@aol.com,Simon Romero,Annabelle Romero,45.21,9/14/2004,12.88,154633,267-99-0811,205-665-8463,Fort Payne,AL,35967
alskinner,798671,Mr.,Adolph,L,Skinner,M,adolph.skinner@gmail.com,Glenn Skinner,Shawn Skinner,52.89,5/26/2008,9.18,180393,384-37-6327,252-584-4280,Durham,NC,27707
amcompton,928723,Mrs.,Angela,M,Compton,F,angela.compton@gmail.com,Terry Compton,Ava Compton,50.55,12/1/2008,8.66,127733,045-15-8779,802-785-3606,Middletown Springs,VT,5757
amkane,689587,Ms.,Ava,M,Kane,F,ava.kane@aol.com,Samuel Kane,Jennifer Kane,34.32,3/24/2012,5.35,82550,518-89-3528,219-501-7805,Fairbanks,IN,47849
ampittman,906870,Mr.,Arnulfo,M,Pittman,M,arnulfo.pittman@yahoo.ca,Erik Pittman,Lawanda Pittman,44.87,5/11/2002,15.22,190709,355-08-6207,215-333-8078,Auburn,PA,17922
ancampbell,486465,Ms.,Arline,N,Campbell,F,arline.campbell@gmail.com,Mac Campbell,Flora Campbell,29.6,4/6/2012,5.31,148717,321-11-2373,217-576-2262,Donovan,IL,60931
anolsen,924999,Mr.,Arron,N,Olsen,M,arron.olsen@shaw.ca,Darwin Olsen,Penelope Olsen,39.6,7/28/2009,8.01,132077,446-27-8138,216-272-3835,Cleveland,OH,44181
apandrews,292144,Drs.,Augusta,P,Andrews,F,augusta.andrews@gmail.com,Lazaro Andrews,Hallie Andrews,31.64,10/3/2013,3.82,73007,540-83-5625,314-692-9769,Maryland Heights,MO,63043
apmarquez,739367,Drs.,Alyssa,P,Marquez,F,alyssa.marquez@gmail.com,Quincy Marquez,Johanna Marquez,39.2,7/7/2012,5.06,46119,353-08-7747,236-605-1693,Saltville,VA,24370
aqholloway,959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,46.88,1/27/2004,13.51,118621,210-84-4283,225-832-0451,Dodson,LA,71422
aqpratt,696218,Mrs.,Anita,Q,Pratt,F,anita.pratt@gmail.com,Jefferson Pratt,Regina Pratt,59.24,1/21/2001,16.53,189291,378-37-8132,503-834-3610,Sutherlin,OR,97479
ardixon,709146,Hon.,Amparo,R,Dixon,F,amparo.dixon@charter.net,Laurence Dixon,Jeanette Dixon,38.24,3/27/2014,3.34,64356,229-99-3940,314-820-8867,Pierce City,MO,65723
arevans,807182,Mrs.,Adeline,R,Evans,F,adeline.evans@cox.net,Valentin Evans,Twila Evans,28.98,4/7/2016,1.31,121383,029-92-1928,217-205-4597,Niota,IL,62358
armcfarland,224473,Ms.,Adriana,R,Mcfarland,F,adriana.mcfarland@outlook.com,Harold Mcfarland,Alison Mcfarland,38.94,1/10/2000,17.56,71847,256-99-0570,308-264-5555,Gordon,NE,69343
asgray,492623,Mrs.,Aurora,S,Gray,F,aurora.gray@gmail.com,Alva Gray,Marietta Gray,52.28,1/18/1988,29.55,128566,359-08-8042,505-463-3310,Santa Fe,NM,87507
ashenderson,964222,Mrs.,Alana,S,Henderson,F,alana.henderson@gmail.com,Chad Henderson,Alexandria Henderson,58.16,11/17/1987,29.72,73888,416-67-9779,701-366-9793,Erie,ND,58029
atpugh,169348,Mr.,Aubrey,T,Pugh,M,aubrey.pugh@gmail.com,Paul Pugh,Jimmie Pugh,23.64,3/1/2016,1.41,56797,029-92-8064,239-405-4736,Osprey,FL,34229
avhines,817818,Mr.,Augustus,V,Hines,M,augustus.hines@yahoo.com,Carter Hines,Jodie Hines,50.7,11/13/1990,26.72,183713,721-18-0372,206-591-3506,Yakima,WA,98903
avprice,603179,Mr.,Andrew,V,Price,M,andrew.price@yahoo.co.uk,Darius Price,Patsy Price,30.42,5/31/2009,8.16,189614,387-33-5564,216-707-4827,Ohio City,OH,45874
awdunlap,670526,Mrs.,Adrian,W,Dunlap,F,adrian.dunlap@hotmail.com,Lamar Dunlap,Charlotte Dunlap,32.55,8/26/2013,3.92,196585,619-87-5812,203-936-3909,Hartford,CT,6105
axkirby,141178,Mr.,Adam,X,Kirby,M,adam.kirby@yahoo.ca,Harry Kirby,Phyllis Kirby,54,8/3/2015,1.99,107957,152-23-6880,208-736-4975,Potlatch,ID,83855
axtorres,211129,Mr.,Alphonse,X,Torres,M,alphonse.torres@btinternet.com,Vincent Torres,Melissa Torres,45.59,5/26/2002,15.18,191018,096-02-9399,215-803-0126,Portland,PA,18351
aybowen,358935,Ms.,Anastasia,Y,Bowen,F,anastasia.bowen@gmail.com,Jessie Bowen,Catherine Bowen,24.61,4/1/2017,0.32,196480,508-57-6611,240-646-3168,Garrett Park,MD,20896
aycarr,518193,Drs.,Amanda,Y,Carr,F,amanda.carr@gmail.com,Everett Carr,Marcella Carr,44.2,11/27/2009,7.67,100000,510-33-9678,210-872-1018,Agua Dulce,TX,78330
aylong,398788,Ms.,Alexandria,Y,Long,F,alexandria.long@hotmail.com,Gregorio Long,Katharine Long,28.47,11/16/2010,6.7,136817,351-08-0065,217-924-3225,Cooksville,IL,61730
ayscott,456816,Ms.,Adele,Y,Scott,F,adele.scott@yahoo.com,Genaro Scott,Barbara Scott,36.94,3/27/2012,5.34,111047,405-73-5476,207-661-8706,Porter,ME,4068
azgentry,556573,Ms.,Aisha,Z,Gentry,F,aisha.gentry@aol.com,Louis Gentry,Cheryl Gentry,51.78,7/10/1991,26.07,139115,180-86-5081,212-970-9881,Montezuma,NY,13117
azmendoza,335470,Mrs.,Amber,Z,Mendoza,F,amber.mendoza@gmail.com,Philip Mendoza,Saundra Mendoza,44.5,9/5/1994,22.91,63144,119-98-6689,603-466-5911,Walpole,NH,3608
azwarner,599012,Mrs.,Amber,Z,Warner,F,amber.warner@hotmail.com,Rodney Warner,Thelma Warner,59.73,8/6/2016,0.98,116847,214-91-0355,229-317-6542,Darien,GA,31305
bagarner,750124,Mr.,Barry,A,Garner,M,barry.garner@gmail.com,Bryan Garner,Corrine Garner,37.63,1/26/2014,3.5,182944,638-29-1816,479-955-4801,Donaldson,AR,71941
bahobbs,900863,Mrs.,Barbra,A,Hobbs,F,barbra.hobbs@outlook.com,Vince Hobbs,Evangeline Hobbs,26.24,10/6/2013,3.81,41746,491-29-5239,236-666-5502,Roanoke,VA,24023
baknapp,228355,Dr.,Benito,A,Knapp,M,benito.knapp@aol.com,Vance Knapp,Alma Knapp,38.06,2/16/2004,13.45,152692,584-99-7295,262-320-6394,Grand View,WI,54839
bbbean,638900,Drs.,Brandy,B,Bean,F,brandy.bean@ntlworld.com,Mitchell Bean,Krista Bean,22.21,9/11/2016,0.88,134242,361-08-4499,385-706-7340,Sunnyside,UT,84539
bclancaster,621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,41.7,2/25/2003,14.43,142616,534-71-1053,219-623-8216,Munster,IN,46321
bcsingleton,591698,Ms.,Bobbie,C,Singleton,F,bobbie.singleton@yahoo.com,Andrea Singleton,Marylou Singleton,32.51,1/1/2011,6.58,184505,017-94-0645,212-653-6029,Jamaica,NY,11435
bdhobbs,638943,Mr.,Buford,D,Hobbs,M,buford.hobbs@msn.com,Julio Hobbs,Kari Hobbs,41.85,3/15/2000,17.38,52960,652-62-4222,479-893-9574,Success,AR,72470
bdmelendez,747004,Mr.,Bennie,D,Melendez,M,bennie.melendez@yahoo.com,Augustine Melendez,Avis Melendez,59.05,7/9/1987,30.07,137031,596-94-7653,319-520-6921,Luther,IA,50152
bdnieves,259652,Mr.,Bradley,D,Nieves,M,bradley.nieves@gmail.com,Brooks Nieves,Tanisha Nieves,33.93,2/2/2005,12.49,82080,603-87-2981,423-760-7018,Oak Ridge,TN,37831
bggreer,266624,Mr.,Boyd,G,Greer,M,boyd.greer@yahoo.co.in,Sammie Greer,Alta Greer,21.51,4/13/2017,0.29,92696,397-33-0382,228-432-2011,Neely,MS,39461
bgstephenson,521878,Dr.,Benny,G,Stephenson,M,benny.stephenson@apple.com,Octavio Stephenson,Tanisha Stephenson,31.09,12/23/2015,1.6,84296,466-99-8942,212-686-7826,Burke,NY,12917
bhbolton,801970,Ms.,Becky,H,Bolton,F,becky.bolton@gmail.com,Gerardo Bolton,Sheryl Bolton,44.97,8/27/2015,1.92,93169,548-99-7738,217-563-0363,Bloomington,IL,61710
bhglass,982922,Ms.,Bernadette,H,Glass,F,bernadette.glass@hotmail.com,Austin Glass,Chelsea Glass,23.19,1/29/2016,1.5,199184,334-11-0572,239-692-2402,Pinellas Park,FL,33780
bhle,416483,Mr.,Bennett,H,Le,M,bennett.le@gmail.com,Eric Le,Dixie Le,34.99,5/29/2004,13.17,144885,524-99-8128,252-545-5705,Winston Salem,NC,27107
bhmcgee,862947,Mrs.,Benita,H,Mcgee,F,benita.mcgee@hotmail.com,Kennith Mcgee,Jeannette Mcgee,46.61,5/16/2005,12.21,154473,044-15-3638,405-902-2464,Nardin,OK,74646
bicox,809726,Dr.,Bryce,I,Cox,M,bryce.cox@gmail.com,Hugo Cox,Dora Cox,38.71,4/24/2004,13.27,66919,672-48-1213,217-894-6093,Cerro Gordo,IL,61818
biknowles,932453,Mrs.,Beatriz,I,Knowles,F,beatriz.knowles@gmail.com,Jackson Knowles,Ava Knowles,33.44,9/16/2011,5.87,53311,708-18-8763,406-923-1326,Arlee,MT,59821
bilangley,434046,Mrs.,Bianca,I,Langley,F,bianca.langley@gmail.com,Elvis Langley,Georgina Langley,57.19,4/14/1994,23.3,80844,548-99-1891,228-683-5798,Escatawpa,MS,39552
birosales,893976,Ms.,Beverly,I,Rosales,F,beverly.rosales@yahoo.com,Jerrod Rosales,Dianna Rosales,42.43,4/24/2005,12.27,139394,475-55-0832,217-490-8205,Rossville,IL,60963
biwhitaker,466203,Mr.,Bart,I,Whitaker,M,bart.whitaker@hotmail.com,Henry Whitaker,Nadine Whitaker,55.13,2/17/2007,10.45,133522,235-57-8388,225-846-2122,Woodworth,LA,71485
bjblevins,192175,Dr.,Bret,J,Blevins,M,bret.blevins@gmail.com,Mickey Blevins,Marie Blevins,37.85,7/11/2015,2.05,163665,097-02-5670,231-210-4653,Vassar,MI,48768
bjbryant,264960,Dr.,Brent,J,Bryant,M,brent.bryant@aol.com,Melvin Bryant,Becky Bryant,57.26,12/30/1985,31.6,180468,592-99-1277,423-391-0195,Adamsville,TN,38310
bjgardner,684446,Mr.,Bryon,J,Gardner,M,bryon.gardner@aol.com,Rogelio Gardner,Lillian Gardner,32.45,3/4/2008,9.41,169032,482-41-1206,209-532-8208,Platina,CA,96076
bkbaker,568435,Ms.,Bonnie,K,Baker,F,bonnie.baker@bp.com,Edwardo Baker,Pauline Baker,32.01,1/7/2008,9.56,72930,064-02-6162,262-696-9171,Mukwonago,WI,53149
bknelson,697802,Ms.,Beryl,K,Nelson,F,beryl.nelson@gmail.com,Ed Nelson,Janelle Nelson,29.42,7/17/2010,7.04,140782,176-86-6616,206-728-2403,Rockford,WA,99030
blaustin,707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,42.51,1/26/2005,12.51,118693,143-23-9034,319-716-4227,Knoxville,IA,50197
blchan,963676,Mr.,Bradley,L,Chan,M,bradley.chan@hotmail.com,Winston Chan,Iva Chan,38.1,12/2/2002,14.66,58663,578-53-2084,503-254-6301,Portland,OR,97228
blduncan,956821,Ms.,Benita,L,Duncan,F,benita.duncan@gmail.com,Jesse Duncan,Tammie Duncan,59.73,12/8/1985,31.66,50803,724-28-0144,423-901-1808,Idlewild,TN,38346
blpugh,409492,Drs.,Beatriz,L,Pugh,F,beatriz.pugh@aol.com,Roscoe Pugh,Madeline Pugh,35.32,2/13/2011,6.46,188881,455-99-1842,229-386-6446,Tiger,GA,30576
blvalencia,988937,Dr.,Boyd,L,Valencia,M,boyd.valencia@gmail.com,Matt Valencia,Nettie Valencia,30.16,11/16/2016,0.7,180715,078-02-8120,209-925-2984,Mount Hamilton,CA,95140
bmjoyner,648118,Drs.,Bobbie,M,Joyner,F,bobbie.joyner@gmail.com,Jim Joyner,Guadalupe Joyner,46.3,4/19/2016,1.27,65153,437-99-4679,385-473-3065,Park Valley,UT,84329
bmknowles,333260,Mr.,Bud,M,Knowles,M,bud.knowles@hotmail.com,Adolph Knowles,Audra Knowles,58.1,10/27/2007,9.76,109080,648-58-6115,215-600-5286,Trevorton,PA,17881
bmlawson,575035,Mrs.,Beatrice,M,Lawson,F,beatrice.lawson@hotmail.com,Vaughn Lawson,Alicia Lawson,27.36,1/8/2017,0.55,196252,095-02-4716,270-461-8555,Louisville,KY,40255
bmolson,517038,Ms.,Bobbi,M,Olson,F,bobbi.olson@hotmail.com,Cruz Olson,Bernadine Olson,53.77,6/5/2017,0.15,143127,313-35-8701,319-758-4226,Keystone,IA,52249
bmwhitney,282037,Mr.,Bruno,M,Whitney,M,bruno.whitney@sbcglobal.net,Denny Whitney,Darcy Whitney,41.38,4/4/2010,7.32,182912,430-99-5587,205-929-8374,Killen,AL,35645
bndixon,160350,Ms.,Bonita,N,Dixon,F,bonita.dixon@gmail.com,Marc Dixon,Callie Dixon,38.93,10/24/2003,13.77,119978,661-22-4242,215-203-8551,Kennett Square,PA,19348
bnleach,586177,Mr.,Bernard,N,Leach,M,bernard.leach@sbcglobal.net,Buddy Leach,Katheryn Leach,27.71,12/28/2012,4.58,66743,569-99-5915,303-296-0269,Kiowa,CO,80117
bnmatthews,769123,Mr.,Brenton,N,Matthews,M,brenton.matthews@bellsouth.net,Billy Matthews,Lindsay Matthews,46.76,12/27/1994,22.6,98023,495-29-4565,216-585-2060,Green Camp,OH,43322
bnsutton,228339,Drs.,Barbra,N,Sutton,F,barbra.sutton@ibm.com,Ira Sutton,Frances Sutton,30.1,9/28/2012,4.83,87718,352-08-2930,252-876-5411,Harbinger,NC,27941
bocarr,408036,Ms.,Brandy,O,Carr,F,brandy.carr@btinternet.com,Silas Carr,Nadia Carr,40.71,9/21/2008,8.85,197345,228-99-6983,701-618-4337,Watford City,ND,58854
bpdillon,222179,Mrs.,Betsy,P,Dillon,F,betsy.dillon@msn.com,Tristan Dillon,Misty Dillon,34.67,7/11/2014,3.05,121009,203-84-4304,229-371-7539,Roswell,GA,30077
bpirwin,149844,Mrs.,Berta,P,Irwin,F,berta.irwin@gmail.com,Mathew Irwin,Lindsey Irwin,34.56,6/2/2012,5.16,169176,650-62-5600,212-758-0414,Holbrook,NY,11741
bqcolon,590955,Mr.,Bruce,Q,Colon,M,bruce.colon@microsoft.com,Dick Colon,Abby Colon,45.27,8/25/2010,6.93,139425,533-71-6012,231-408-6959,Ida,MI,48140
bqholman,845635,Ms.,Bettie,Q,Holman,F,bettie.holman@hotmail.co.uk,Shirley Holman,Tricia Holman,37.62,5/12/2013,4.21,71063,606-87-8889,217-804-2508,Peoria,IL,61615
bqmcdowell,141086,Dr.,Bernardo,Q,Mcdowell,M,bernardo.mcdowell@gmail.com,Jarrett Mcdowell,Rosario Mcdowell,54.21,4/24/2003,14.27,118615,065-02-8230,239-768-1883,Hollywood,FL,33026
bqslater,664807,Hon.,Bertie,Q,Slater,F,bertie.slater@gmail.com,Hugh Slater,Marcia Slater,23.5,1/5/2017,0.56,120043,574-61-0132,215-850-8359,East Smethport,PA,16730
brmcdowell,403674,Dr.,Billy,R,Mcdowell,M,billy.mcdowell@gmail.com,Morgan Mcdowell,Jennie Mcdowell,33.83,4/6/2014,3.31,170510,696-16-7530,270-556-2299,Rhodelia,KY,40161
bsfitzpatrick,749765,Mr.,Brian,S,Fitzpatrick,M,brian.fitzpatrick@gmail.com,Darrel Fitzpatrick,Carrie Fitzpatrick,38.68,11/9/2007,9.72,151448,076-02-8987,239-710-0174,Orlando,FL,32813
bsguerrero,909024,Hon.,Barney,S,Guerrero,M,barney.guerrero@gmail.com,Clifton Guerrero,Ilene Guerrero,43.6,9/24/2006,10.85,54968,501-37-7976,308-689-3365,Dalton,NE,69131
bsjoseph,774862,Ms.,Bernadine,S,Joseph,F,bernadine.joseph@gmail.com,Louie Joseph,Flossie Joseph,49.69,3/3/2006,11.41,49212,667-48-9716,270-399-4566,Lexington,KY,40513
bspace,532560,Ms.,Belinda,S,Pace,F,belinda.pace@yahoo.com,Landon Pace,Irene Pace,41.08,7/11/2009,8.05,105760,713-18-2119,252-731-0304,New Bern,NC,28564
btconrad,842936,Ms.,Bernice,T,Conrad,F,bernice.conrad@aol.com,Edwardo Conrad,Marian Conrad,37.19,8/2/2002,15,147448,650-62-7464,316-655-2948,Shawnee Mission,KS,66225
bumullen,308129,Mr.,Barton,U,Mullen,M,barton.mullen@apple.com,Gilberto Mullen,Carol Mullen,47.11,11/11/2004,12.72,112027,708-18-9367,239-785-3194,Miami,FL,33182
bvbonner,272413,Mr.,Bryce,V,Bonner,M,bryce.bonner@gmail.com,Kurtis Bonner,Maryann Bonner,59.49,3/3/2008,9.41,141453,348-08-7421,505-386-4693,Las Cruces,NM,88003
bwlangley,463579,Mr.,Bernardo,W,Langley,M,bernardo.langley@hotmail.com,Tanner Langley,Angel Langley,44.8,8/30/2007,9.92,174027,350-08-5414,229-818-8713,Atlanta,GA,30348
bwpalmer,587639,Ms.,Barbara,W,Palmer,F,barbara.palmer@yahoo.com,Eugene Palmer,Daisy Palmer,33.16,4/23/2014,3.27,72749,677-22-6704,225-544-2407,New Orleans,LA,70185
bwweiss,117603,Mr.,Bob,W,Weiss,M,bob.weiss@hotmail.com,Vernon Weiss,Dorothy Weiss,25.77,12/23/2012,4.6,88733,143-23-1339,212-927-2029,North Collins,NY,14111
bxjennings,880704,Dr.,Benjamin,X,Jennings,M,benjamin.jennings@gmail.com,Wilfredo Jennings,Toni Jennings,40.21,6/10/2001,16.14,115574,585-99-8326,907-621-7774,Shungnak,AK,99773
bxmacdonald,169763,Prof.,Benjamin,X,Macdonald,M,benjamin.macdonald@gmail.com,Roberto Macdonald,Ursula Macdonald,41.23,4/20/1999,18.28,89172,295-15-3529,316-561-5979,Tribune,KS,67879
bxroberts,206783,Hon.,Brock,X,Roberts,M,brock.roberts@yahoo.co.in,Humberto Roberts,Lelia Roberts,49.45,1/8/1991,26.57,158082,367-39-5971,304-276-6112,Gary,WV,24836
bykane,414967,Mrs.,Bette,Y,Kane,F,bette.kane@gmail.com,Alton Kane,Kirsten Kane,37.6,6/13/2004,13.13,89490,468-57-2192,215-892-1317,Mc Elhattan,PA,17748
bysmith,992197,Mr.,Benny,Y,Smith,M,benny.smith@gmail.com,Art Smith,Caitlin Smith,28.87,9/13/2013,3.87,157586,153-23-1572,503-642-5195,Gold Hill,OR,97525
bytrujillo,851939,Drs.,Belinda,Y,Trujillo,F,belinda.trujillo@btinternet.com,Efren Trujillo,Maryanne Trujillo,25.79,1/23/2017,0.51,156339,651-62-6017,319-756-6511,Killduff,IA,50137
byzimmerman,678498,Mr.,Buford,Y,Zimmerman,M,buford.zimmerman@yahoo.ca,Diego Zimmerman,Stacie Zimmerman,22.91,7/23/2016,1.01,159050,258-99-0396,210-683-4660,Myra,TX,76253
bzcarney,528086,Mr.,Bruce,Z,Carney,M,bruce.carney@hotmail.com,Wilbur Carney,Constance Carney,43.49,5/7/2013,4.23,95018,330-11-2949,231-344-7782,Detroit,MI,48288
bzcline,612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,30.84,4/19/2008,9.28,154836,700-18-6519,215-970-5881,Montgomery,PA,17752
cabridges,279563,Mr.,Clint,A,Bridges,M,clint.bridges@aol.com,Jimmy Bridges,Leila Bridges,23.25,10/14/2015,1.79,67442,366-39-9002,217-331-1409,Blue Island,IL,60406
caspencer,625661,Mr.,Cole,A,Spencer,M,cole.spencer@yahoo.com,Emil Spencer,Flossie Spencer,58.15,4/25/2003,14.27,151776,148-23-2588,215-232-9400,Harrisburg,PA,17120
cbferrell,913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,45.21,10/30/2004,12.75,125232,522-99-2018,212-495-4523,New Baltimore,NY,12124
cblancaster,159397,Mr.,Clement,B,Lancaster,M,clement.lancaster@charter.net,Scott Lancaster,Katy Lancaster,45.99,1/4/2005,12.57,60567,180-86-6071,406-298-8084,Billings,MT,59101
cbmyers,909541,Mr.,Clement,B,Myers,M,clement.myers@earthlink.net,Alfonzo Myers,Katina Myers,58.71,6/20/1983,34.13,47356,152-23-1091,201-948-7092,Marmora,NJ,8223
